,Default = Monthly,,DO NOT TOUCH ROW 1-3,,,,,,,,,,,,,,,,,,,,,,Income Analysis,,,,,,,,,,,DSCR Calculations,,,,
Property Location (w/ Link),CoC,CR,DSCR,Property Value / Negotiated Value,Comments,PSF,Percent Down,Money Down,Loan Amount,Loan Length,Rate,Compound Rate Constant,Mortgage Payments,Taxes Monthly,Tax Property Ratio,Insurance,HOA,Recurring Payments,Property Closing Costs (15k high est),Est. Impr. Cost,Total Investment,Annual Misc. Cost,Ownership Cost,Annual Operating Expenses,Bedrooms/Unit,Rent per Bd/Unit (7% CoC),Rent per Bd/Unit (10% CR),Rent per Bd/Unit (1.2 DSCR),Rent per Bd/Unit (12% CR),Realistic Rent Avg Per Bedroom/Unit,Total Realistic Rent,Net Annual Operating Income,Annual Cash Flow,Annual Cash-On-Cash,Cap Rate,NOI 80%,Annual Mortgage Payments,DSCR (80%),Value for DSCR=1.5,Value for DSCR=1.2
97 Throop Avenue,21.86%,13.23%,1.60,"$370,000.00",Base Case - closing and heating - changed improvement costs,228.00,10%,"$37,000.00","$333,000.00",30,6.2%,0.845076156483,"$2,039.52",$368.75,1.20%,$84.38,$250.00,"$2,742.65","$15,000.00","$60,000.00","$112,000.00","$7,400.00","$3,359.32","$15,837.56",6,$668.78,$733.86,$699.85,$836.63,"$1,000.00","$6,000.00","$48,962.44","$24,488.18",21.86%,13.23%,"$39,169.95","$24,474.26",1.60,"$392,931.10","$481,913.88"
163 Livingston Avenue,0.58%,7.26%,0.81,"$1,350,000.00",Base,,15%,"$202,500.00","$1,147,500.00",30,7.5%,0.895342345075,"$8,023.49","$1,961.25",1.74%,,,"$9,984.74","$15,000.00","$75,000.00","$292,500.00","$13,500.00","$11,109.74","$37,035.00",1,"$12,815.99","$14,336.25","$14,413.53","$16,586.25","$12,500.00","$12,500.00","$97,965.00","$1,683.16",0.58%,7.26%,"$78,372.00","$96,281.84",0.81,"$826,231.29","$982,164.11"
144 George Street,32.76%,13.48%,1.50,"$380,000.00",Optimized,224.00,10%,"$38,000.00","$342,000.00",30,7%,0.878294236779,"$2,275.33",$544.83,1.72%,,,"$2,820.17","$15,000.00","$20,000.00","$73,000.00","$3,800.00","$3,136.83","$10,338.00",6,$593.78,$671.36,$678.96,$776.92,$950.00,"$5,700.00","$51,222.00","$23,917.99",32.76%,13.48%,"$40,977.60","$27,304.01",1.50,"$380,765.62","$466,457.02"
144 George Street,8.30%,9.22%,1.03,"$380,000.00",Current Tenants,224.00,10%,"$38,000.00","$342,000.00",30,7%,0.878294236779,"$2,275.33",$544.83,1.72%,,,"$2,820.17","$15,000.00","$40,000.00","$93,000.00","$3,800.00","$3,136.83","$10,338.00",6,$613.22,$671.36,$678.96,$776.92,$700.00,"$4,200.00","$35,022.00","$7,717.99",8.30%,9.22%,"$28,017.60","$27,304.01",1.03,"$272,359.02","$330,948.77"
130B Remsen Avenue,-78.31%,-4.77%,-0.53,"$285,000.00",,204.00,10%,"$28,500.00","$256,500.00",30,7%,0.878294236779,"$1,706.50",$544.83,2.29%,,$350.00,"$2,601.33","$15,000.00",,"$43,500.00","$2,850.00","$2,838.83","$13,588.00",3,"$1,030.86","$1,169.11","$1,180.50","$1,327.44",,$0.00,"-$13,588.00","-$34,066.01",-78.31%,-4.77%,"-$10,870.40","$20,478.01",-0.53,"-$62,427.71","-$85,159.64"
553 Fulton Street,4.57%,7.81%,0.87,"$400,000.00",,,10%,"$40,000.00","$360,000.00",30,7%,0.878294236779,"$2,395.09",$887.08,2.66%,,,"$3,282.17","$15,000.00",,"$55,000.00","$4,000.00","$3,615.51","$14,645.00",5,$787.27,$910.75,$920.34,"$1,044.08",$850.00,"$4,250.00","$31,255.00","$2,513.93",4.57%,7.81%,"$25,004.00","$28,741.07",0.87,"$249,151.13","$301,438.92"
950 West 6th Street,-11.56%,4.37%,0.45,"$445,000.00",Viewing - potential for more rooms ,,20%,"$89,000.00","$356,000.00",30,9%,0.933474896844,"$2,864.46",$887.08,2.39%,,,"$3,751.54","$15,000.00","$25,000.00","$129,000.00","$4,450.00","$4,122.37","$15,095.00",4,"$1,218.72","$1,241.56","$1,325.46","$1,426.98",$800.00,"$3,200.00","$19,465.00","-$14,908.48",-11.56%,4.37%,"$15,572.00","$34,373.48",0.45,"$196,674.60","$223,593.25"
55 Lufberry Avenue,11.25%,10.96%,1.16,"$260,000.00",Indoor patio; recently painted grey walls,,5%,"$13,000.00","$247,000.00",30,7%,0.878294236779,"$1,643.30",$288.67,1.33%,,$0.00,"$1,931.96","$15,000.00","$50,000.00","$78,000.00","$2,600.00","$2,148.63","$6,064.00",4,$650.91,$668.00,$706.32,$776.33,$800.00,"$3,200.00","$28,496.00","$8,776.43",11.25%,10.96%,"$22,796.80","$19,719.57",1.16,"$203,688.55","$251,360.69"
5 Llewellyn Place,39.97%,14.58%,1.59,"$650,000.00",Asking Price Best Case Scenario,,5%,"$32,500.00","$617,500.00",30,6.7%,0.866763858377,"$3,984.59",$610.42,1.13%,,,"$4,595.01","$15,000.00","$70,000.00","$117,500.00","$6,500.00","$5,136.67","$13,825.00",9,$646.90,$729.86,$753.04,$850.23,"$1,005.56","$9,050.00","$94,775.00","$46,959.90",39.97%,14.58%,"$75,820.00","$47,815.10",1.59,"$686,410.80","$849,888.50"
