,Default = Monthly,,,,,,,,,,,,,,,,,,,,,,,Resale Value Calculations,,,
Property Location (w/ Link),ROI,Acquisition Value,Flipping Estimate,PSF,Percent Down,Money Down,Property Closing Costs (5% est.),Total Purchase Capital Required,Loan Amount,Loan Length,Rate,Compound Rate Constant,Mortgage Payments,Taxes ,Tax Property Ratio,Insurance,HOA,Recurring Payments,Months Till Resale,Total Investment,Desired Resale Value,Net Profit,Estimated Return On Investment,Resale Value For 40% ROI,Resale Value For 30% ROI,Resale Value For 20% ROI,Resale Value For 10% ROI
11 Randolphville Road,24.167%,"$275,000.00","$100,000.00",222.00,20%,"$55,000.00","$13,750.00","$68,750.00","$320,000.00",30,8%,0.910008110942,"$2,348.05",$438.58,1.91%,,,"$2,786.63",5,"$82,683.15","$500,000.00","$97,316.85",24.167%,"$563,756.41","$523,488.09","$483,219.78","$442,951.46"
30 Bender Avenue,-100.000%,"$374,000.00","$150,000.00",287.00,20%,"$74,800.00","$18,700.00","$243,500.00","$449,200.00",30,7%,0.878294236779,"$2,988.54",$825.08,2.65%,,,"$3,813.62",24,"$335,026.93",,"-$784,226.93",-100.000%,"$1,097,917.70","$1,019,495.01","$941,072.32","$862,649.62"
693 Hanson Ave,-100.000%,"$300,000.00","$120,000.00",288.00,20%,"$60,000.00","$15,000.00","$195,000.00","$360,000.00",30,7%,0.878294236779,"$2,395.09",$479.92,1.92%,,,"$2,875.01",,"$195,000.00",,"-$555,000.00",-100.000%,"$777,000.00","$721,500.00","$666,000.00","$610,500.00"
913 Eden Ave,-24.508%,"$350,000.00","$150,000.00",369.00,,$100.00,"$15,000.00","$165,100.00","$499,900.00",30,7%,0.878294236779,"$3,325.85",$643.25,2.21%,,,"$3,969.10",6,"$188,914.58","$520,000.00","-$168,814.58",-24.508%,"$964,340.42","$895,458.96","$826,577.50","$757,696.04"
6 Lufberry Avenue,-17.374%,"$200,000.00","$100,000.00",252.00,10%,"$20,000.00","$15,000.00","$135,000.00","$280,000.00",30,7%,0.878294236779,"$1,862.85",$285.42,1.71%,,,"$2,148.26",4,"$143,593.05","$350,000.00","-$73,593.05",-17.374%,"$593,030.28","$550,670.97","$508,311.67","$465,952.36"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
,-100.000%,,,,,$0.00,"$15,000.00","$15,000.00",$0.00,30,,0.000000000000,$0.00,,0.00%,,,$0.00,,"$15,000.00",,"-$15,000.00",-100.000%,"$21,000.00","$19,500.00","$18,000.00","$16,500.00"
